codigo_postal,estado,municipio,colonia,d_tipo_asenta,d_ciudad,d_codigo,c_estado,c_oficina,c_CP,c_tipo_asenta,c_mnpio,id_asenta_cpcons,d_zona,c_cve_ciudad
50000,México,Toluca,Toluca de Lerdo Centro,Colonia,Toluca de Lerdo,50091,15,50091,,9,106,160,Urbano,20
50010,México,Toluca,Celanese,Colonia,Toluca de Lerdo,50091,15,50091,,9,106,163,Urbano,20
50010,México,Toluca,Club Jardín,Colonia,Toluca de Lerdo,50091,15,50091,,9,106,164,Urbano,20
50010,México,Toluca,Guadalupe,Colonia,Toluca de Lerdo,50091,15,50091,,9,106,165,Urbano,20
50010,México,Toluca,La Cruz Comalco,Colonia,Toluca de Lerdo,50091,15,50091,,9,106,166,Urbano,20
50010,México,Toluca,La Magdalena,Colonia,Toluca de Lerdo,50091,15,50091,,9,106,168,Urbano,20
50010,México,Toluca,Los Girasoles,Fraccionamiento,Toluca de Lerdo,50091,15,50091,,21,106,170,Urbano,20
50010,México,Toluca,Los Girasoles II,Fraccionamiento,Toluca de Lerdo,50091,15,50091,,21,106,171,Urbano,20
50010,México,Toluca,Los Girasoles III,Fraccionamiento,Toluca de Lerdo,50091,15,50091,,21,106,172,Urbano,20
50010,México,Toluca,Los Girasoles IV,Fraccionamiento,Toluca de Lerdo,50091,15,50091,,21,106,173,Urbano,20
50010,México,Toluca,San Lorenzo Tepaltitlán Centro,Pueblo,Toluca de Lerdo,50091,15,50091,,28,106,176,Urbano,20
50010,México,Toluca,Tlacopa,Barrio,Toluca de Lerdo,50091,15,50091,,2,106,177,Urbano,20
50010,México,Toluca,Universidad,Fraccionamiento,Toluca de Lerdo,50091,15,50091,,21,106,178,Urbano,20
50010,México,Toluca,Las Flores,Fraccionamiento,Toluca de Lerdo,50091,15,50091,,21,106,188,Urbano,20
50010,México,Toluca,San Angelín,Barrio,Toluca de Lerdo,50091,15,50091,,2,106,5121,Urbano,20
50010,México,Toluca,Galaxias de San Lorenzo,Fraccionamiento,Toluca de Lerdo,50091,15,50091,,21,106,5542,Rural,20
50010,México,Toluca,El Tejocote,Colonia,Toluca de Lerdo,50091,15,50091,,9,106,5545,Rural,20
50010,México,Toluca,El Balcón,Colonia,Toluca de Lerdo,50091,15,50091,,9,106,5546,Rural,20
50010,México,Toluca,Los Girasoles I,Fraccionamiento,Toluca de Lerdo,50091,15,50091,,21,106,7920,Urbano,20
50010,México,Toluca,San Juan de la Cruz,Barrio,Toluca de Lerdo,50091,15,50091,,2,106,8291,Urbano,20
